lp_w,Pf_Pe,alpha,back_frac,mean_vx
2.0,0.75,1.9568153231910375,0.5241165,-2.686491070847599
2.0,0.875,1.4664900600860153,0.5103348,-1.1152035605572204
2.0,1.0,1.3240951606080384,0.4953449,0.6101600507370422
2.0,1.125,1.8079753215993937,0.47956,2.4419299755699924
2.0,1.25,1.9642393926112363,0.461569,4.50844985178207
2.0,1.375,1.9450728648435909,0.44414660000000006,6.5245009819373205
2.0,1.5,1.9607609197694735,0.4252426,8.753454922002327
2.0,1.625,1.9841860234967914,0.407126,10.961615461496171
2.0,1.75,1.9886709622198582,0.3888625,13.183754713128717
2.0,1.875,1.9857947011816823,0.3706258,15.450043449112778
2.0,2.0,1.9840801239965,0.35295449999999995,17.681700730289034
2.25,0.125,1.6895453410833534,0.5288630000000001,-3.3024318002168016
2.25,0.25,1.8329421286271337,0.5489787,-5.547723851826267
2.25,0.375,1.9373017924854163,0.5574207,-6.514429762479243
2.25,0.5,2.0381791320168605,0.5552739,-6.2488253048276725
2.25,0.625,2.048313354547189,0.5459316000000001,-5.1589720364641485
2.25,0.75,1.9851728397709727,0.5327715000000001,-3.6710239209268636
2.25,0.875,1.843927737639021,0.5182209999999999,-1.9897653936506516
2.25,1.0,1.0119467487069596,0.49976449999999994,0.11806697829207775
2.25,1.125,1.7730856381073268,0.48009480000000004,2.394399110304448
2.25,1.25,1.9163441559909011,0.46001739999999997,4.723275168741354
2.25,1.375,1.9534451456556607,0.44005150000000004,7.065207008336577
2.25,1.5,1.964366648407175,0.4194709,9.522421392538739
2.25,1.625,1.980566933154251,0.3994379,11.972106205328808
2.25,1.75,1.9807429495467506,0.37889449999999997,14.503491125667935
2.25,1.875,1.9805332125915147,0.3585586,17.083561791708494
2.25,2.0,2.001759247627204,0.33887269999999997,19.660908799528546
2.5,0.125,1.5721955161418069,0.5362003,-4.129633038478158
2.5,0.25,1.8963710732197494,0.5602583999999999,-6.9069238429653765
2.5,0.375,1.9846561055950014,0.5693415000000001,-7.919037527329561
2.5,0.5,2.0164325145492596,0.5660164,-7.514516141407007
2.5,0.625,2.067089438133643,0.5566618,-6.419293907592019
2.5,0.75,1.9865658817553142,0.5415269,-4.686266196232052
2.5,0.875,1.9718066022344003,0.5231955,-2.553287289920155
2.5,1.0,1.0892921289261892,0.5031647,-0.2631668425498184
2.5,1.125,1.6989222894160838,0.4819718,2.2105666971391327
2.5,1.25,1.905322238128309,0.4587705,4.894130880777307
2.5,1.375,1.981426868823123,0.43680199999999997,7.503181888005764
2.5,1.5,1.9588925619343134,0.41374449999999996,10.271973481497016
2.5,1.625,1.9801770371435272,0.3912382,13.033246139951663
2.5,1.75,1.9823017412181418,0.3685099,15.918624863637561
2.5,1.875,1.9845565863339099,0.34646190000000004,18.774236696417656
2.5,2.0,1.9971686895859464,0.3252354,21.602290788555862
2.75,0.125,1.5488955807428282,0.5467872,-5.391433136160641
2.75,0.25,1.9330650795239745,0.5767721,-8.841804475634323
2.75,0.375,2.0090466367008273,0.5854851,-9.827590213800677
2.75,0.5,2.0273508760795904,0.5819373999999999,-9.362929887901137
2.75,0.625,2.066395101019265,0.5698351,-7.937435820886937
2.75,0.75,1.995736397135073,0.5505368,-5.720654152512639
2.75,0.875,2.0553236911893964,0.5298574,-3.319395182254583
2.75,1.0,1.4660001688222486,0.5066906,-0.6626125884323466
2.75,1.125,1.7684723737193437,0.483027,2.078965833316566
2.75,1.25,1.9352645877784251,0.45847940000000004,4.974072258070649
2.75,1.375,1.9686240267836879,0.4328679,8.017726267473531
2.75,1.5,1.984713950867078,0.408406,10.995906804906792
2.75,1.625,1.9957496212034649,0.38342,14.109832092403739
2.75,1.75,1.9891463118341595,0.3589029,17.25479519207087
2.75,1.875,1.989965303002979,0.33541139999999997,20.383810246756877
2.75,2.0,1.9905019697441584,0.312058,23.585153386930607
3.0,0.125,1.7362940019844393,0.556706,-6.611583794661789
3.0,0.25,1.9834075601434749,0.5879181,-10.207987358703035
3.0,0.375,2.0416156681977564,0.6001172,-11.532789238573292
3.0,0.5,2.0406916342014174,0.5956747,-10.987666816048405
3.0,0.625,2.0469328797071613,0.5799003,-9.144072422915036
3.0,0.75,2.036910424030907,0.5600567,-6.8262940381365
3.0,0.875,2.04163318698527,0.5354803,-3.9898136446692765
3.0,1.0,1.7899641988503003,0.5101975,-1.0604737541137534
3.0,1.125,1.754810621419258,0.48369510000000004,2.0513571741716787
3.0,1.25,1.9084582165880177,0.45631330000000003,5.266236165445997
3.0,1.375,1.9655384787141166,0.4291419,8.50812624621245
3.0,1.5,1.9786057536986517,0.40251,11.790636296230502
3.0,1.625,1.9805706049132334,0.3752582,15.217236846741232
3.0,1.75,1.99384333179119,0.3495193,18.60622430282322
3.0,1.875,1.9855779701831064,0.32405880000000004,22.06113929041827
3.0,2.0,1.9879936993545602,0.2998087,25.547329570253147
3.25,0.125,1.925887777506332,0.5677378,-7.961184041617188
3.25,0.25,2.0376136246494347,0.6087184999999999,-12.723365207442416
3.25,0.375,2.035758220582667,0.6165343,-13.538787255637878
3.25,0.5,2.013727561065372,0.6096408999999999,-12.695315894553316
3.25,0.625,2.0351045185606846,0.5908044,-10.461777349471879
3.25,0.75,2.057961701536818,0.5682214,-7.791310355205193
3.25,0.875,2.060527197866942,0.5411057,-4.624786448283182
3.25,1.0,1.8904925243728543,0.5140337,-1.484088409613151
3.25,1.125,1.7406553775064506,0.4848668,1.9147183508265742
3.25,1.25,1.912348763131876,0.45493870000000003,5.471556873289671
3.25,1.375,1.973098338304478,0.4259865,8.953870833233685
3.25,1.5,1.9817249166107263,0.39634400000000003,12.622769771844574
3.25,1.625,1.9823741315924328,0.36781959999999997,16.329380678844853
3.25,1.75,1.9930651310717127,0.3402004,19.998100815914018
3.25,1.875,1.9940134877736335,0.3131112,23.747202097978725
3.25,2.0,1.9948555410489834,0.2881455,27.45005199258334
3.5,0.125,1.853517158967305,0.5795738,-9.428347467635575
3.5,0.25,1.9523175689280887,0.6223027,-14.409296648587775
3.5,0.375,1.9927228088370257,0.6316826999999999,-15.396816036122596
3.5,0.5,2.0262444508201636,0.6228865,-14.287628151167851
3.5,0.625,2.033002103817493,0.6017412999999999,-11.741459662316654
3.5,0.75,1.9959087175764074,0.5761243,-8.73135132096208
3.5,0.875,2.0108243019365166,0.5471466,-5.370857714625691
3.5,1.0,1.8195942046764852,0.5163327,-1.7534383269857525
3.5,1.125,1.7860909163890508,0.4853698,1.883110789568746
3.5,1.25,1.926202350507638,0.4539178,5.653790742895027
3.5,1.375,1.9658856741214261,0.42176089999999994,9.56013172268728
3.5,1.5,1.976326096921651,0.390745,13.43643935481751
3.5,1.625,1.995431611892439,0.36065169999999996,17.362260105136706
3.5,1.75,1.9996380404243752,0.33036839999999995,21.477418836892152
3.5,1.875,1.9930335214827122,0.30328279999999996,25.372407168150154
3.5,2.0,1.9931985556238412,0.2760102,29.488970598344505
3.75,0.125,1.9138968017132165,0.5907603,-10.859672916817695
3.75,0.25,2.0160635629814494,0.6379168,-16.380689276593422
3.75,0.375,2.00138173700202,0.6470632,-17.337271146616548
3.75,0.5,2.0498876321173287,0.6350853,-15.776012120365607
3.75,0.625,2.029498548941125,0.6110730999999999,-12.883880320308325
3.75,0.75,2.050916941318236,0.5839303,-9.650837014525672
3.75,0.875,2.063702353105003,0.5535606,-6.108638574152619
3.75,1.0,2.0197179011453796,0.519809,-2.1332076809663323
3.75,1.125,1.7731156154032153,0.4856253,1.8633594383546428
3.75,1.25,1.9206255246508148,0.4518507,5.92972511450129
3.75,1.375,1.982010905699491,0.41774769999999994,10.081068274018472
3.75,1.5,1.9757970977108992,0.3848825,14.275657086325017
3.75,1.625,1.9845119096864925,0.3529249,18.50451279029266
