lp_w,Pf_Ps,alpha,trap_frac,mean_vx
2.25,0.625,2.0393688296547676,0.5457,-8183.619654825423
2.25,0.75,2.049011116022564,0.5196,-6826.176754351702
2.25,0.875,2.0344384304886742,0.48878,-5236.079561403684
2.25,1.0,2.0176117437943035,0.4456,-3497.8057909654963
2.25,1.125,1.7837805763126873,0.37802,-1707.0223315720982
2.25,1.25,0.7965428359222158,0.29062,124.52963220709434
2.25,1.375,1.5821797187556697,0.2058,2124.7229364659
2.25,1.5,1.838820413680927,0.15104,4064.533089093098
2.25,1.625,1.9264394140174832,0.1146,6116.434596645851
2.25,1.75,1.9439687749298862,0.0858,8197.906474555342
2.25,1.875,1.9391849555992486,0.06044,10289.974189280943
2.25,2.0,1.962077195007777,0.03566,12427.003702253929
2.5,0.125,1.8262240428230945,0.51838,-6694.0902389744315
2.5,0.25,2.0146336513413026,0.58818,-10384.093216470113
2.5,0.375,2.049687105919186,0.59688,-11441.685491812968
2.5,0.5,2.044907947343277,0.58058,-10981.36002144118
2.5,0.625,2.054561291421436,0.5598,-9838.736217779984
2.5,0.75,2.040058070237274,0.53096,-8255.506088641452
2.5,0.875,2.043286488465368,0.50362,-6363.6068506024185
2.5,1.0,2.0320204239387496,0.46652,-4466.25872838796
2.5,1.125,1.945868257856149,0.40564,-2478.366613803329
2.5,1.25,1.053148011271734,0.31188,-379.2411517097968
2.5,1.375,1.5425469068711921,0.21718,1771.9384035114253
2.5,1.5,1.821820350154924,0.14732,3966.630026412021
2.5,1.625,1.8974619609561563,0.10716,6233.777357222339
2.5,1.75,1.9446516560842708,0.08056,8434.849714459218
2.5,1.875,1.9324822196598133,0.05602,10814.77868326141
2.5,2.0,1.958281923952872,0.03542,13025.068099075752
2.75,0.125,1.8818249659884616,0.54076,-8246.265397803707
2.75,0.25,2.022022714410388,0.60884,-12483.453366900027
2.75,0.375,2.032610641750658,0.61052,-13424.96193782329
2.75,0.5,2.038195512592135,0.58776,-12763.173136221669
2.75,0.625,2.0405831335943554,0.56376,-11334.347595477195
2.75,0.75,2.037047964668653,0.54116,-9555.234999350292
2.75,0.875,2.048358844191175,0.51676,-7576.32011542958
2.75,1.0,2.033732029217703,0.48232,-5430.166170112834
2.75,1.125,2.0186632659865182,0.42636,-3254.929536768501
2.75,1.25,1.4960187867527386,0.34394,-958.9010229822339
2.75,1.375,1.3914588943335653,0.24004,1316.2518563021588
2.75,1.5,1.798860144824276,0.15172,3777.1350604575036
2.75,1.625,1.9010578281667212,0.10428,6237.214450480173
2.75,1.75,1.942662804785584,0.07636,8660.220747000756
2.75,1.875,1.9432355319370398,0.05212,11217.549034281044
2.75,2.0,1.9637033279567546,0.03286,13763.657554605019
3.0,0.125,1.8873607787095905,0.55954,-9772.79758349375
3.0,0.25,2.038943514880679,0.62586,-14635.718123107265
3.0,0.375,2.0555175606811167,0.62094,-15432.031330857108
3.0,0.5,2.0548805877096457,0.59578,-14551.837360144458
3.0,0.625,2.035877443652682,0.5687,-12915.461411592714
3.0,0.75,2.0475209477365706,0.55228,-10934.786996914163
3.0,0.875,2.05819885111117,0.5251,-8729.399669300776
3.0,1.0,2.0548984710520606,0.49464,-6395.701968783611
3.0,1.125,1.9963157580795363,0.44644,-4008.5643461872496
3.0,1.25,1.769384939049319,0.36334,-1517.72974289912
3.0,1.375,1.2659986647296673,0.26174,992.5363864684477
3.0,1.5,1.7838078132225215,0.16092,3604.3206501251816
3.0,1.625,1.8922396955279894,0.09768,6279.873903683193
3.0,1.75,1.9281437401569077,0.06994,8933.525430552936
3.0,1.875,1.9599647567752247,0.04924,11640.369789652272
3.0,2.0,1.956896728189909,0.03142,14354.86069970649
3.25,0.125,1.9166178672853198,0.582,-11694.9037289145
3.25,0.25,2.0350636838667064,0.63738,-16775.07070948524
3.25,0.375,2.037399130658441,0.62848,-17425.37866005673
3.25,0.5,2.043865878110233,0.60566,-16244.750803361134
