lp_w,Pf_Ps,alpha,trap_frac,mean_vx
1.5,1.5,1.9600930015249391,0.02032,7281.816750644664
1.5,1.625,1.9691653345973967,0.0092,8853.506392981393
1.5,1.75,1.9761082823337586,0.00348,10493.435055315973
1.5,1.875,1.9880593473980719,0.00132,12180.517248030754
1.5,2.0,1.9851215876697903,0.0002,13862.736482526303
1.75,0.125,1.3334252113900007,0.38864,-1565.39435884432
1.75,0.25,1.6287764357040022,0.41878,-2793.756138592741
1.75,0.375,1.7647791081316524,0.42516,-3289.6415090497853
1.75,0.5,1.8379857810846687,0.41226,-3263.0918606273617
1.75,0.625,1.8190670889525702,0.38716,-2621.1236228116863
1.75,0.75,1.7478908728748985,0.34654,-1649.8786331581944
1.75,0.875,1.1064407161085295,0.28906,-425.0825294997573
1.75,1.0,1.327411552470904,0.21936,1055.1254307868126
1.75,1.125,1.8082406546710614,0.13748,2640.6510371175127
1.75,1.25,1.8699764766437041,0.06886,4390.911969495111
1.75,1.375,1.9523049190517088,0.02878,6159.490153280509
1.75,1.5,1.9680486781525313,0.0122,8022.0291760263635
1.75,1.625,1.9764295147282236,0.0044,9907.426342537574
1.75,1.75,1.9830933574283462,0.00134,11835.894580210483
1.75,1.875,1.9917510778225977,0.00038,13785.864624999589
1.75,2.0,1.9876412925313245,0.0001,15774.438457116214
2.0,0.125,1.4228801612107067,0.41464,-2396.352057605543
2.0,0.25,1.7574371911338809,0.44266,-3934.4111857337202
2.0,0.375,1.86899256475486,0.4491,-4791.088639710118
2.0,0.5,1.972014664214706,0.43046,-4664.472640039525
2.0,0.625,1.9753634430283138,0.40242,-3890.5913841207357
2.0,0.75,1.9134039386192134,0.36102,-2679.6444932479058
2.0,0.875,1.6083027351460233,0.30228,-1174.6213759798577
2.0,1.0,1.1224258006160748,0.23034,617.6811719160645
2.0,1.125,1.8088792167808296,0.1387,2517.3947837856595
2.0,1.25,1.8997235519588418,0.06024,4542.509162506432
2.0,1.375,1.9532843154881137,0.02182,6611.7832825572805
2.0,1.5,1.963613640428193,0.00598,8751.358297082857
2.0,1.625,1.9760232498538306,0.00198,10985.118510796683
2.0,1.75,1.9848944614362554,0.0004,13186.178362387152
2.0,1.875,1.9875437032168417,4e-05,15448.884749973411
2.0,2.0,1.9928238657072268,2e-05,17685.073690011497
2.25,0.125,1.500398692581226,0.43124,-3262.2564824112783
2.25,0.25,1.8168713152362836,0.46948,-5540.768220345586
2.25,0.375,1.9082898597912274,0.46214,-6297.571859333489
2.25,0.5,1.9720014455755734,0.45084,-6127.478655441275
2.25,0.625,2.0203878793015213,0.416,-5248.105187698206
2.25,0.75,2.0150325904918485,0.37112,-3722.0549924031925
2.25,0.875,1.9572242836774405,0.31448,-1840.2316363648451
2.25,1.0,0.8596070391610277,0.23918,181.13679216622862
2.25,1.125,1.7655937577971819,0.1399,2327.9506923000836
2.25,1.25,1.922558077137721,0.0568,4667.362999882878
2.25,1.375,1.9523313918983929,0.0162,7085.458228155967
2.25,1.5,1.969154712391969,0.0034,9497.655938099027
2.25,1.625,1.9747680556768823,0.00052,11995.11102484232
2.25,1.75,1.9818139540814188,6e-05,14510.95825130293
