Pe_w,Pf_Pe,alpha,back_frac
0.0,0.0,0.8683453045388377,0.5000661
0.0,0.2,1.0948336764490254,0.5001062000000001
0.0,0.4,0.7859278547111288,0.5000337
0.0,0.6,0.8405524718870908,0.4999286
0.0,0.8,0.8729472549610554,0.4999655
0.0,1.0,0.8806538669252055,0.5000276
0.0,1.2,0.9386879277496609,0.49997400000000003
0.0,1.4,0.9045239831087644,0.5000507
0.0,1.6,0.9591344475616436,0.5000643
0.0,1.8,0.7785981971204181,0.5001243
0.0,2.0,0.893185007042365,0.5002551000000001
0.2,0.0,0.9564065698253935,0.4999215
0.2,0.2,1.3736547880798475,0.49741599999999997
0.2,0.4,1.6428740040523249,0.49514779999999997
0.2,0.6,1.749797643838384,0.49249410000000005
0.2,0.8,1.8882687188495813,0.48964260000000004
0.2,1.0,1.8959364616508145,0.4877974
0.2,1.2,1.8833814992018776,0.4852042
0.2,1.4,1.8775974171256278,0.4829897
0.2,1.6,1.9437424018267373,0.4797265
0.2,1.8,1.9512734455117144,0.4772679
0.2,2.0,1.9865203789357864,0.47502720000000004
0.4,0.0,0.9684687326860043,0.4995657
0.4,0.2,1.1787480837727624,0.4960513
0.4,0.4,1.580240913890985,0.492678
0.4,0.6,1.6969675878184134,0.48914440000000003
0.4,0.8,1.922735432000632,0.4849001
0.4,1.0,1.8893106595293698,0.4807155
0.4,1.2,1.9096181405791572,0.4762085
0.4,1.4,1.9449350616435226,0.4720046
0.4,1.6,1.9403333489788819,0.4668397
0.4,1.8,1.9518994194631696,0.4612464
0.4,2.0,1.9638886294016682,0.4567361
0.6,0.0,0.879058889565981,0.4991478
0.6,0.2,1.1072855399571406,0.49672
0.6,0.4,1.1921975191582155,0.4936878
0.6,0.6,1.6817024154726523,0.4888479
0.6,0.8,1.750562189427023,0.48317319999999997
0.6,1.0,1.9305742280427076,0.47812059999999995
0.6,1.2,1.8834897161535495,0.4711754
0.6,1.4,1.919370523397208,0.46447160000000004
0.6,1.6,1.9468533240067583,0.4573126
0.6,1.8,1.979227889906794,0.4489378
0.6,2.0,1.974773998709099,0.44126580000000004
0.8,0.0,0.8761877759982828,0.4999247
0.8,0.2,1.0661264806035788,0.49855099999999997
0.8,0.4,1.2817405606975376,0.49534160000000005
0.8,0.6,1.3084212607764172,0.4912869
0.8,0.8,1.5908271588902203,0.484697
