Pe_w,Pf_Pe,alpha,back_frac
1.0,3.5,1.99952721176859,0.30393560000000003
1.0,3.75,1.9959389012412856,0.28720419999999997
1.0,4.0,1.996433717439141,0.2699264
1.25,0.25,1.1466087420348496,0.5064285
1.25,0.5,1.2749713497270547,0.5063802
1.25,0.75,0.9247182555501606,0.4980849
1.25,1.0,1.751572557777561,0.48333800000000005
1.25,1.25,1.9279780456144389,0.4645132
1.25,1.5,1.966872043655032,0.44252129999999995
1.25,1.75,1.9769502443162503,0.4202336
1.25,2.0,1.9809817004284633,0.3975726
1.25,2.25,1.995905598752305,0.3737067
1.25,2.5,1.9882102928647074,0.351005
1.25,2.75,1.9996037853688986,0.32890339999999996
1.25,3.0,1.9997542182537087,0.3060644
1.25,3.25,2.004434010909945,0.2860075
1.25,3.5,1.99588614766107,0.2649323
1.25,3.75,1.997048495007404,0.2447403
1.25,4.0,1.995541141763632,0.22590220000000003
1.5,0.25,1.4491392473809441,0.513078
1.5,0.5,1.5791413531356828,0.5163131
1.5,0.75,1.263533910199872,0.5056508000000001
1.5,1.0,1.494816114188312,0.486906
1.5,1.25,1.8843080745239027,0.46292720000000004
1.5,1.5,1.9616667130959091,0.4366161
1.5,1.75,1.9743839948227742,0.4102442
1.5,2.0,1.9920309516457013,0.38137580000000004
1.5,2.25,1.9959085289812022,0.3548074
1.5,2.5,1.9972553949900382,0.3279051
1.5,2.75,1.9949204788986583,0.30142389999999997
1.5,3.0,1.9941178360093064,0.2763762
1.5,3.25,2.0042645689658705,0.25212049999999997
1.5,3.5,2.000589456224687,0.2295058
1.5,3.75,1.9920813754737474,0.20855680000000001
1.5,4.0,1.998779002845987,0.1887368
1.75,0.25,1.60740954970281,0.523188
1.75,0.5,1.8444093291109607,0.5289144
1.75,0.75,1.6884586397933654,0.5139322000000001
1.75,1.0,1.2621873014371046,0.49106769999999994
1.75,1.25,1.897265953509833,0.4624178
1.75,1.5,1.9398982070379942,0.4311112
1.75,1.75,1.9787698498743396,0.3998232
1.75,2.0,1.9879808603584592,0.3674468
1.75,2.25,1.9999695502396524,0.3357123
1.75,2.5,1.9861699090287828,0.3053512
1.75,2.75,2.000986657320756,0.2757409
1.75,3.0,1.9941904144787452,0.2491006
1.75,3.25,2.000823556140804,0.2231146
1.75,3.5,1.9972999424925144,0.1990842
1.75,3.75,1.997906280486147,0.1774079
