lp_w,Pf_Ps,alpha,alpha_x
1.0,0.375,1.2102487269311113,1.2151851685446573
1.0,0.5,1.1928714348604716,1.1992974970098433
1.0,0.625,1.1598568145680566,1.168267653363705
1.0,0.75,1.0679170682901968,1.0778443347578117
1.0,0.875,1.11861225022221,1.1300714823276599
1.0,1.0,1.4066428190066564,1.4144005389661132
1.0,1.125,1.6770233184464043,1.6814985237753668
1.0,1.25,1.7821930230075984,1.7851990318502078
1.0,1.375,1.8200365207813873,1.821918125253061
1.0,1.5,1.8854585588568702,1.8866853253458815
1.0,1.625,1.9049899428635997,1.9059711848148666
1.0,1.75,1.9732532797346571,1.974009187190752
1.0,1.875,1.9849432680797703,1.985505966734516
1.0,2.0,1.9529761064110533,1.9534082513630107
1.25,0.125,1.2930738837194238,1.2965887625091028
1.25,0.25,1.5001529448970745,1.5033807762075506
1.25,0.375,1.6988585420479392,1.7022081366812645
1.25,0.5,1.7980048645775093,1.8020597745224507
1.25,0.625,1.8014857366940413,1.806698947945258
1.25,0.75,1.6592258235563826,1.665577805975741
1.25,0.875,1.32013398133567,1.3313329025716338
1.25,1.0,0.9532626358727899,0.9607397509469238
1.25,1.125,1.3880161576834582,1.395213785264947
1.25,1.25,1.656580740785045,1.6599128425422254
1.25,1.375,1.8447571025355955,1.8468221054205471
1.25,1.5,1.8974621701288263,1.898820726928207
1.25,1.625,1.9561686472240518,1.9570497487552874
1.25,1.75,1.9486122527835372,1.9492143342946582
1.25,1.875,1.9677944675991366,1.9683062339728912
1.25,2.0,1.9830613817787668,1.9834201717239528
1.5,0.125,1.3800736180838655,1.3825436090291663
1.5,0.25,1.7921963302560444,1.7944445754149316
1.5,0.375,1.860628665044801,1.8623284165102978
1.5,0.5,1.9689486667626788,1.971142306659224
1.5,0.625,2.0401423433467167,2.043065084424458
1.5,0.75,2.0228140887753483,2.0272307634013935
1.5,0.875,1.8013048053355585,1.807365284520346
1.5,1.0,1.2945768153425332,1.3045936689342044
1.5,1.125,1.23642517102919,1.2485230190817902
1.5,1.25,1.6912570342516522,1.6969605411913296
1.5,1.375,1.6947561679893022,1.6966497605341382
1.5,1.5,1.8317319047244742,1.8328604345781692
1.5,1.625,1.8748940676376868,1.875643608969485
1.5,1.75,1.8923433974221975,1.8928546565173718
1.5,1.875,1.9556652774410783,1.9560353132073038
1.5,2.0,1.927133050203147,1.9273967642643117
1.75,0.125,1.5114981550621043,1.512984880179837
1.75,0.25,1.805908684331914,1.8070858116143205
1.75,0.375,1.9414110108002278,1.942467134048543
1.75,0.5,1.9777338534367077,1.9788513041505122
1.75,0.625,2.0225336209649822,2.023928717440147
1.75,0.75,2.0696273445681084,2.071917258747678
1.75,0.875,2.0028009094625783,2.0065548748748703
1.75,1.0,1.67399313444671,1.6806897413751622
1.75,1.125,1.024976018459047,1.03473120323008
1.75,1.25,1.4737877197127447,1.4795624163325405
1.75,1.375,1.700192198574527,1.7024990407306486
1.75,1.5,1.8467527260029521,1.8479228309258369
1.75,1.625,1.8932203468238051,1.8939479346365875
1.75,1.75,1.9343427057670015,1.9348129862159622
1.75,1.875,1.9800163885113855,1.9803759512938122
1.75,2.0,1.9437073151847237,1.9439493063502715
2.0,0.125,1.6930111894740867,1.694018512445055
2.0,0.25,1.8960115228281245,1.8966987450822113
2.0,0.375,1.9638354568257959,1.964440280891139
2.0,0.5,2.03607118622329,2.0367416452777043
2.0,0.625,2.0380086384421356,2.0389199500668713
2.0,0.75,2.0557551626258492,2.0570475430440203
2.0,0.875,2.022242884398958,2.0244332617888317
2.0,1.0,1.8687618538125035,1.8727399172348873
2.0,1.125,1.3249986683798578,1.3326411218081118
2.0,1.25,1.138221275073444,1.1456964028197265
2.0,1.375,1.702939209809248,1.7058007078078954
2.0,1.5,1.784108907342328,1.7851982716211015
2.0,1.625,1.9090132197486704,1.9097694210555036
