lp_w,Pf_Pe,alpha,back_frac,mean_vx
0.25,0.125,1.1442464689437069,0.4985293,0.16697127560031497
0.25,0.25,1.4655563842298764,0.496439,0.4173149942301428
0.25,0.375,1.5574160308272216,0.4950871,0.5622029211194607
0.25,0.5,1.6980926431312287,0.4932729,0.7604114717960898
0.25,0.625,1.711825126091963,0.4915533,0.9456604261093361
0.25,0.75,1.8404465605196714,0.4901327,1.1129845040608137
0.25,0.875,1.9338790325142083,0.48825209999999997,1.3246789906175267
0.25,1.0,1.8862242581448911,0.4861177,1.5540046313242342
0.25,1.125,1.8698238328523307,0.48464480000000004,1.7236005083044157
0.25,1.25,1.964261390370254,0.4827399,1.9411812596427032
0.25,1.375,1.9333827041686862,0.4812023,2.1118286321828648
0.25,1.5,1.9080758616150444,0.47832589999999997,2.4357132982370646
0.25,1.625,1.9635547943417762,0.4768128,2.597228505581495
0.25,1.75,1.9484127273951313,0.4745524,2.831657486538174
0.25,1.875,1.9377662126312323,0.4729086,3.0331909884593538
0.25,2.0,1.951393036208512,0.47152019999999994,3.194767774783238
0.5,0.125,0.9880477265862304,0.49809480000000006,0.21372559342347522
0.5,0.25,1.1813076240963423,0.496422,0.3952788629482391
0.5,0.375,1.199048372882777,0.4956789,0.4977873482351547
0.5,0.5,1.495157061721989,0.49326440000000005,0.7478739952328116
0.5,0.625,1.6352153613055511,0.4907348,1.0261580780026869
0.5,0.75,1.710255147830729,0.4884372,1.3126156814771794
0.5,0.875,1.7466269685215179,0.48655489999999996,1.5167351665854656
0.5,1.0,1.922555754971921,0.481855,2.036346074736689
0.5,1.125,1.824356916635717,0.4798425,2.2650065909859918
0.5,1.25,1.855830097456243,0.4759108,2.7193001258558467
0.5,1.375,1.8821840928826994,0.4730185,3.0417780731958177
0.5,1.5,1.9379684638390247,0.46886900000000004,3.5066998462983237
0.5,1.625,1.9356331713850774,0.4659204,3.857082231503965
0.5,1.75,1.8792986216684677,0.46143730000000005,4.344436827073045
0.5,1.875,1.9671980413701886,0.4573205,4.821846274001675
0.5,2.0,1.9653710157591837,0.4529151,5.316885430248767
0.75,0.125,0.9196732431904628,0.5000637,-0.004631197244241301
0.75,0.25,1.0454815720153827,0.5002065,-0.018496263630202132
0.75,0.375,0.9515023140168982,0.49941870000000005,0.06713933670643302
0.75,0.5,1.0755992655554458,0.49819209999999997,0.22912833955267659
0.75,0.625,1.035585194799011,0.49593370000000003,0.46965128103804893
0.75,0.75,1.421805638539594,0.4938358,0.7029940508638792
0.75,0.875,1.3839832877741012,0.48970559999999996,1.1615893841562468
0.75,1.0,1.6881791424518116,0.4858436,1.5990201675122921
0.75,1.125,1.7449138159875341,0.4812357,2.128063219254731
0.75,1.25,1.8368145029941738,0.4752712,2.8124974798139593
0.75,1.375,1.8413606284522597,0.46964730000000005,3.4288591821603993
0.75,1.5,1.9394196857067634,0.46541699999999997,3.9250149884649246
0.75,1.625,1.9222051344315791,0.45847309999999997,4.710105088793436
0.75,1.75,1.9457503243975152,0.4524115,5.431352550386938
0.75,1.875,1.9325096644029254,0.4469238,6.059031744303653
0.75,2.0,1.9808738284101994,0.4408699,6.7403748028883905
1.0,0.125,1.083313372396945,0.5036071,-0.4238105512086537
1.0,0.25,1.2173277869199612,0.507009,-0.7685608923882594
1.0,0.375,1.2563911319065737,0.5078333,-0.8692532291496419
1.0,0.5,1.4198501759203028,0.5083287000000001,-0.9370000321075719
1.0,0.625,1.1907889240288347,0.5065362999999999,-0.7110572767310261
1.0,0.75,1.0761663103169121,0.5029704,-0.31129843655129985
1.0,0.875,0.6376728541158849,0.49817839999999997,0.21703671289525506
1.0,1.0,1.4534052835166993,0.4923579,0.9025006842522435
1.0,1.125,1.6731521295774414,0.4844882,1.790272088237877
