lp_w,Pf_Ps,alpha,trap_frac,mean_vx
0.75,0.5,0.9588588037550536,0.23705104,0.2366288949355061
0.75,0.625,1.0812415610787014,0.2313465,0.4370399081768446
0.75,0.75,1.3790501813590221,0.22541822,0.7831845116600743
0.75,0.875,1.5226822853603879,0.21481402,1.1855937392227918
0.75,1.0,1.6698134101773916,0.20777564,1.6455140834791908
0.75,1.125,1.7598728163513426,0.20111676,2.1790679472236913
0.75,1.25,1.7978083108442453,0.19400838,2.7396146060701847
0.75,1.375,1.8740396827972206,0.186509,3.3775395473167884
0.75,1.5,1.891997196020873,0.17926832,4.053859624051358
0.75,1.625,1.9345029483201952,0.17466228,4.645168545929551
0.75,1.75,1.919864941515431,0.1672755,5.401135665156801
0.75,1.875,1.9398712601959918,0.16171626,6.117896655750498
0.75,2.0,1.955938581213468,0.15685326,6.788319594136505
1.0,0.125,1.1165887636003196,0.289951,-0.46574666056382596
1.0,0.25,1.2719815650627428,0.28528434,-0.7528306555945667
1.0,0.375,1.3624019302982409,0.2788649,-0.8747231479809142
1.0,0.5,1.390761647038311,0.26962752,-0.8691709955525951
1.0,0.625,1.279889910099353,0.2603782,-0.6510041912671108
1.0,0.75,1.1010669845982757,0.2507293,-0.23893871119578286
1.0,0.875,1.0681814756666546,0.24229876,0.32472464440318083
1.0,1.0,1.4212286233684428,0.23102204,0.997932383997999
1.0,1.125,1.698696834606157,0.22141564,1.7573461449315064
1.0,1.25,1.8010845031274374,0.21334592,2.567460461449079
1.0,1.375,1.844936492883372,0.20603472,3.4137240892630434
1.0,1.5,1.873336420393582,0.19666388,4.307993530302928
1.0,1.625,1.9339649151457383,0.19102412,5.167688556875851
1.0,1.75,1.9602559628345075,0.18380208,6.1955572011270235
1.0,1.875,1.9464070651441425,0.17777316,7.129086392054834
1.0,2.0,1.9487769750026167,0.17130212,8.140229335475407
1.25,0.125,1.2655171626576103,0.31676648,-1.0863533800897829
1.25,0.25,1.52302592263582,0.31289496,-1.7578807590997907
1.25,0.375,1.7058564245756123,0.3030813,-2.2107451393211215
1.25,0.5,1.7332572747228385,0.29262278,-2.23660305296316
1.25,0.625,1.7498604960340605,0.28174328,-1.9908997470029424
1.25,0.75,1.6474841117137553,0.27123438,-1.386084874630797
1.25,0.875,1.3696033602513702,0.26043588,-0.6961616380459688
1.25,1.0,0.8243181379742032,0.24894052,0.1919767806621916
1.25,1.125,1.3684919630105634,0.23853988,1.131176131078607
1.25,1.25,1.6568137292045666,0.2288641,2.2150046928484337
1.25,1.375,1.819512506509879,0.21918776,3.267507696742872
1.25,1.5,1.8753382677254324,0.21363824,4.4003511555562635
1.25,1.625,1.9206883669033608,0.2039069,5.554118176676892
1.25,1.75,1.9178518983279216,0.19707874,6.750380406091925
1.25,1.875,1.96282878093105,0.18953566,7.93240266961736
1.25,2.0,1.9582957434879922,0.18351226,9.188678250734469
1.5,0.125,1.4388820557078885,0.33558088,-1.8558945568237404
1.5,0.25,1.7658591977134102,0.333192,-3.229885773429122
1.5,0.375,1.9223503608456316,0.32389442,-3.829351431309116
1.5,0.5,1.9480590812939245,0.31324916,-3.987839856888984
1.5,0.625,1.9825045975797473,0.29945448,-3.527738679893121
1.5,0.75,1.8957510860018487,0.28684048,-2.712745991898162
1.5,0.875,1.8028354428572322,0.27416546,-1.797008729193614
1.5,1.0,1.3776567405161422,0.26184592,-0.6899810333607429
1.5,1.125,1.1505297716775391,0.25175566,0.5395403107596691
1.5,1.25,1.627367439661299,0.24096672,1.761150376874154
1.5,1.375,1.7818484428702928,0.23222114,3.0309508251790462
1.5,1.5,1.8470894462308334,0.2242014,4.36633827338317
1.5,1.625,1.923713458978046,0.21501652,5.767083392300056
1.5,1.75,1.9247889452943507,0.20779454,7.192965148415451
1.5,1.875,1.9364376342228369,0.20089808,8.622325140398841
1.5,2.0,1.956018955678089,0.19347206,10.119950996377383
1.75,0.125,1.531171973948318,0.35321422,-2.8364503574792463
1.75,0.25,1.874870009234398,0.35148406,-4.835501688928093
1.75,0.375,1.949648276098871,0.34132686,-5.664069810954282
1.75,0.5,2.0123746918038674,0.32872806,-5.642105813487568
1.75,0.625,2.0205444081985364,0.31386814,-5.07226860040356
1.75,0.75,2.0339611521788727,0.29960818,-4.084853968463149
1.75,0.875,1.9631924137746002,0.28707552,-2.916203473121208
1.75,1.0,1.7233875078130827,0.27467446,-1.614834276763867
1.75,1.125,1.0303760257254102,0.26268558,-0.21264912665659985
1.75,1.25,1.4570841116201447,0.25208288,1.2970136095666078
1.75,1.375,1.7559587300937791,0.24138818,2.811440601056943
1.75,1.5,1.8919320338765504,0.23299992,4.409336933832947
1.75,1.625,1.8890251442023385,0.22511508,5.974705558843733
