Pe,Pf,alpha
0.0,0.0,1.0109778689922897
0.0,2.5,2.025331313185492
0.0,5.0,2.0101325116645246
0.0,7.5,1.9876972283110015
0.0,10.0,2.0114045356649086
2.5,0.0,1.1808724648262865
2.5,2.5,1.8861816539730916
2.5,5.0,1.9367680680679344
2.5,7.5,1.9806893454798928
2.5,10.0,1.9949275890294806
5.0,0.0,1.2184073682876342
5.0,2.5,1.5877433143227844
5.0,5.0,1.8991425587005293
5.0,7.5,1.9826396933039627
5.0,10.0,1.947210839398268
7.5,0.0,1.1581766477317608
7.5,2.5,1.2647175209055819
7.5,5.0,1.7004182343850043
7.5,7.5,1.774616825656221
7.5,10.0,1.9380869097711049
10.0,0.0,1.0871523898809117
10.0,2.5,1.0770494143097764
10.0,5.0,1.2691410434231254
10.0,7.5,1.3188339480934017
10.0,10.0,1.6432802447371033
